date,Empirical # of diagnosed cases,Model (FoI=1) diagnosed cases,Model (FoI=1) incidence,Model (FoI=1) symp,Model (FoI=1) R_e,Model (FoI=1.25) diagnosed cases,Model (FoI=1.25) incidence,Model (FoI=1.25) symp,Model (FoI=1.25) R_e,Model (FoI=1.5) diagnosed cases,Model (FoI=1.5) incidence,Model (FoI=1.5) symp,Model (FoI=1.5) R_e,Model (FoI=2) diagnosed cases,Model (FoI=2) incidence
2/4/24 - 2/10/24,1,0,0,1,0,1,1,2,1.5,3,4,6,1.333333333,695,873
2/11/24 - 2/17/24,2,0,0,2,0,0,1,3,1.5,2,3,9,1.5,805,979
2/18/24 - 2/24/24,1,0,0,2,0,1,0,3,0,4,4,8,1.333333333,873,1110
2/25/24 - 3/2/24,2,0,0,3,0,1,0,1,0,3,4,8,1.5,995,1186
3/3/24 - 3/9/24,0,0,0,1,0,0,0,1,0,3,3,8,1.125,1069,1260
3/10/24 - 3/16/24,0,1,1,1,3,0,1,2,3,3,3,9,1.125,1182,1405
3/17/24 - 3/23/24,0,0,0,1,0,1,0,1,0,4,3,9,1,1264,1486
3/24/24 - 3/30/24,2,0,0,3,0,0,0,1,0,3,6,11,2,1353,1564
3/31/24 - 4/6/24,1,0,0,2,0,0,0,2,0,4,4,10,1.090909091,1443,1661
4/7/24 - 4/13/24,1,0,0,2,0,0,1,3,1.5,5,9,12,2.7,1523,1694
4/14/24 - 4/20/24,4,0,0,1,0,0,0,2,0,6,5,13,1.25,1557,1733
4/21/24 - 4/27/24,1,0,1,2,3,0,1,4,1.5,5,4,13,0.923076923,1590,1715
4/28/24 - 5/4/24,0,0,0,2,0,0,2,4,1.5,3,5,15,1.153846154,1627,1692
5/5/24 - 5/11/24,0,0,1,3,1.5,2,0,4,0,6,7,15,1.4,1627,1703
5/12/24 - 5/18/24,3,0,0,3,0,0,0,2,0,5,5,12,1,1557,1678
5/19/24 - 5/25/24,5,1,1,4,1,0,0,1,0,5,3,12,0.75,1592,1611
5/26/24 - 6/1/24,4,0,2,3,1.5,0,0,1,0,4,2,10,0.5,1533,1580
6/2/24 - 6/8/24,5,1,0,3,0,1,1,2,3,3,6,11,1.8,1466,1499
6/9/24 - 6/15/24,6,1,1,3,1,1,0,2,0,5,4,7,1.090909091,1420,1395
6/16/24 - 6/22/24,4,1,1,3,1,0,1,3,1.5,2,2,6,0.857142857,1327,1316
6/23/24 - 6/29/24,4,0,0,2,0,0,1,2,1,2,2,9,1,1288,1260
6/30/24 - 7/6/24,3,0,0,1,0,0,0,2,0,4,3,9,1,1218,1183
7/7/24 - 7/13/24,3,0,0,1,0,1,2,2,3,4,4,10,1.333333333,1160,1069
7/14/24 - 7/20/24,7,0,0,1,0,1,1,3,1.5,3,3,8,0.9,1014,956
7/21/24 - 7/27/24,6,0,1,0,3,1,1,2,1,4,4,9,1.5,950,877
7/28/24 - 8/3/24,7,0,0,1,#DIV/0!,1,1,2,1.5,4,2,7,0.666666667,860,800
8/4/24 - 8/10/24,5,0,0,1,0,0,0,1,0,2,4,7,1.714285714,797,713
8/11/24 - 8/17/24,6,0,0,0,0,1,0,1,0,3,4,9,1.714285714,683,654
8/18/24 - 8/24/24,10,0,0,1,#DIV/0!,0,0,1,0,3,7,11,2.333333333,648,571
8/25/24 - 8/31/24,9,,,,,,,,,,,,,,
9/1/24 - 9/5/24,2,,,,,,,,,,,,,,
,2437,2301,2194,6634,#DIV/0!,2350,2245,6774,88.86078002,2462,2366,6995,113.333807,42671,46105
,216,26,31,155,#DIV/0!,75,82,295,62.98452381,187,203,516,87.45755078,40396,43942
