	strain	date	accession	authors	institution	focus_areas
102	MPXV/PT0783/2023	2023-10-29	PP025025	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
103	MPXV-ROK-P015-2023	2023-04-18	OR459788	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
104	MPXV/Germany/2023/ON/RKI1069	2023-11-XX	PP093722	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
105	Z22IRL00116	2022-06-17	OR146306	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
106	MPXV/Germany/2022/ON/RKI1006	2022-07-XX	OR449721	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
107	INMI-22872022	2022-08-22	OQ570421	Rueca et al.	"National Institute for Infectious Diseases ""L. Spallanzani"" - IRCCS, Laboratory of Virology"	Global
108	Slovenia-MPXV-46-2022	2022-08-XX	OP605587	Zakotnik et al.	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre	Global
109	NY-NYCPHL-000758	2022-07-XX	OQ468786	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
110	MPXV/Germany/2023/ON/RKI1081	2023-12-XX	PP182134	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
111	MpxV/human/CAN/UN-NML-2899/2022	2022-05-20	ON803439	Knox et al.	National Microbiology Laboratory, Public Health Agency of Canada	North America
112	NY-NYCPHL-000987	2022-06-XX	OQ468548	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
113	MPXV/Germany/2022/RKI364	2022-09-XX	OP484685	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
114	MPXV/UZ_REGA_50	2022-05-31	OR035656	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
115	MPV/PT0720/2023	2023-09-05	OR804488	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
116	MPXV/UZ_REGA_246/Belgium/2022	2022-08-16	OR095064	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
117	Z22IRL00459	2022-08-13	OR146336	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
118	MPXV/Germany/2022/ON/RKI883	2022-07-XX	OQ773502	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
119	MPXV/Germany/2022/RKI549	2022-06-XX	OP715829	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
120	hMpxV/UK/LMO-033a/2022	2022-07-14	OP390198	McHugh et al.	Royal Infirmary of Edinburgh, Viral Genotyping Reference Laboratory	Global
121	Monkeypox/PT0428/2022	2022-08-01	OP555515	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
122	Monkeypox/PT0280/2022	2022-06-14	OP414319	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
123	MPXV-ROK-P027-2023	2023-04-22	OR459798	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
124	MPXV_USA_2022_MA0160	2022-XX-XX	OP890509	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
125	MPXV/Germany/2022/RKI545	2022-06-XX	OP715825	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
126	NY-NYCPHL-000010	2022-07-XX	OQ469014	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
127	MpxV/human/USA/WA-UW-092113/2022	2022-09-XX	OP681777	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
128	hMpxV/Canada/ON-PHOL095/2022	2022-09-01	OR759183	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
129	MPXV/Human/USA/CA-LACPHL-MA00533/2023	2023-06-26	OR499989	Garrigues et al.	Los Angeles County Public Health Laboratories	Los Angeles County
130	Slovenia-MPXV-39-2022	2022-08-XX	OP605580	Zakotnik et al.	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre	Global
131	NY-NYCPHL-000655	2022-07-XX	OQ468736	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
132	hMpxV/USA/IL-RIPHL-050-0178/2024	2024-03-25	PP835931	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
133	MPXV/Human/USA/CA-LACPHL-MA00617/2024	2024-02-23	PP507085	Garrigues et al.	Los Angeles County Public Health Laboratories	Los Angeles County
134	MPXV/Germany/2022/RKI534	2022-09-XX	OP689687	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
135	9000405	2022-09-XX	OP536781	Groves et al.	UKHSA, Research and Evaluation	Global
136	MPXV_USA_2022_UT001	2022-05-XX	ON676705	Gigante et al.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA	North America
137	NY-NYCPHL-000157	2022-06-XX	OQ419003	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
138	MPXV/Germany/2022/RKI249	2022-08-XX	OP215228	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
139	NY-NYCPHL-000292	2022-08-XX	OQ468860	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
140	MPXV/UZ_REGA_45	2022-08-02	OR035651	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
141	MPXV_USA_2022_SC0009	2022-09-XX	OQ721937	Gigante et al.	CDC, DHCPP-PRB	North America
