	strain	date	accession	authors	institution	focus_areas
4824	MPXV/Germany/2022/RKI402	2022-09-XX	OP524003	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4825	Monkeypox/PT0451/2022	2022-08-04	OP555532	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4826	MPXV_347_R_SP_2022	2022-XX-XX	OX344872	Cuesta et al.	Institute of Health Carlos III, Bioinformatics Unit, Carretera Majadahonda-Pozuelo km2	Global
4827	MPXV_USA_2022_TX0177	2022-10-XX	PQ340483	Gigante et al.	CDC, DHCPP-PRB	North America
4828	Z22IRL00497	2022-08-18	OR146354	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
4829	hMPXV/USA/NC-UNC-0015/2022	2022-08-22	OP480415	Deanhardt et al.	University of North Carolina at Chapel Hill, Department of Genetics	North America
4830	MPXV/Germany/2022/RKI048	2022-06-XX	ON755254	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4831	MPXV/PT0655/2023	2023-07-21	OR487979	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4832	NY-NYCPHL-001072	2022-06-XX	OQ469255	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4833	NY-NYCPHL-000966	2022-07-XX	OQ565533	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4834	SVPL_360	2024-06-28	PQ213333	Featherston et al.	National Institute of Communicable diseases, Sequencing Core Facility	Global
4835	MPXV_USA_2022_NE0005	2022-08-XX	OR209325	Li et al.	CDC, DHCPP-PRB	North America
4836	Monkeypox virus/Human/USA/CA-LACPHL-MA00654/2024	2024-07-24	PQ207094	Heibeck et al.	Los Angeles Department of Public Health, Los Angeles Department of Public Health Laboratory	Los Angeles County
4837	MPXV/UZ_REGA_104	2022-10-28	OR035710	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
4838	MPXV/Germany/2022/RKI245	2022-08-XX	OP215265	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4839	MPXV/Germany/2023/ON/RKI1044	2023-11-XX	PP093697	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4840	hMpxV/USA/CA-CDPH-1M1000598/2024	2024-04-19	PQ159956	Kath et al.	CDPH, VRDL	Other California
4841	MpxV/human/USA/WA-UW-089563/2022	2022-08-XX	OP743953	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
4842	hMPXV/Australia/VIC-9428/2024	2024-05-14	PQ153138	Edenborough et al.	Melbourne Health, VIDRL	Global
4843	NY-NYCPHL-000153	2022-06-XX	OQ469157	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4844	MPXV_USA_2024_LA0017b	2024-01-XX	PQ451841	Gigante et al.	CDC, DHCPP-PRB	North America
4845	hMpxV/USA/CA-CDPH-1M1000638/2024	2024-07-01	PQ159989	Kath et al.	CDPH, VRDL	Other California
4846	NY-NYCPHL-000711	2022-07-XX	OQ468759	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4847	MPXV/Germany/2022/RKI114	2022-07-XX	ON929072	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4848	MPXV/Germany/2022/RKI432	2022-09-XX	OP594196	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4849	NY-NYCPHL-000230	2022-07-XX	OQ469177	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4850	MpxV/human/USA/WA-UW-126683/2023	2023-12-XX	PP155393	Sereewit et al.	University of Washington Dept. Laboratory Medicine and Pathology, Virology Division	North America
4851	SDM4	2023-XX-XX	PP977060	Thomas et al.	Yale School of Public Health, Epidemiology of Microbial Diseases	North America
4852	MPXV/PT0807/2023	2023-12-27	PP481187	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4853	Monkeypox/PT0416/2022	2022-07-26	OP555508	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4854	NY-NYCPHL-001016	2022-07-XX	OQ469220	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4855	MPV/PT0694/2023	2023-07-18	OR804467	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4856	Z22IRL00273	2022-07-14	OR146338	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
4857	NY-NYCPHL-001139	2022-07-XX	OQ468597	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4858	NY-NYCPHL-000057	2022-06-XX	OQ468919	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4859	MPXV-ROK-P003-2022	2022-11-15	OR459776	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
4860	hMPXV/Australia/VIC-4178/2024	2024-07-08	PQ153200	Edenborough et al.	Melbourne Health, VIDRL	Global
4861	MPXV_USA_2022_MA0003	2022-XX-XX	OP890361	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
4862	NY-NYCPHL-000647	2022-07-XX	OQ468618	Amin et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4863	MPXV_USA_2023_LA0016b	2023-12-XX	PQ451839	Gigante et al.	CDC, DHCPP-PRB	North America
4864	MPX/PT0120/2022	2022-07-13	OP245353	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4865	hMpxV/UK/LMO-005a/2022	2022-06-20	OP390187	McHugh et al.	Royal Infirmary of Edinburgh, Viral Genotyping Reference Laboratory	Global
4866	MPXV-USA-IL-IDPH-029	2022-06-15	OP536690	Gagnon et al.	Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry	North America
4867	WA-UW-529374	2022-08-31	PQ479563	Roychoudhury et al.	University of Washington, Laboratory Medicine and Pathology	North America
4868	ANT-LDSP-ANT-MPX-23202-C	2022-08-23	OP477451	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
4869	hMpxV/USA/CA-CDPH-1M1000589/2022	2022-06-30	PQ201836	Kath et al.	CDPH, VRDL	Other California
4870	MPXV/Germany/2022/RKI385	2022-09-XX	OP523987	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4871	MPXV/E9	2022-XX-XX	PP098618	Viscardi et al.	Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health	Global
4872	MPXV/Germany/2022/ON/RKI672	2022-05-XX	OQ274891	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4873	NY-NYCPHL-001040	2022-06-XX	OQ419080	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4874	Monkeypox/PT0004/2022	2022-05-17	ON585032	Borges et al.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal	Global
4875	MPXV/UZ_REGA_189/Belgium/2022	2022-08-03	OR086998	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
4876	MPXV/Germany/2022/ON/RKI845	2022-07-XX	OQ773464	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4877	MPXV/PT0665/2023	2023-08-01	OR487986	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4878	NY-NYCPHL-001198	2023-02-XX	PP533284	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4879	NY-NYCPHL-000269	2022-08-XX	OQ469067	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4880	NY-NYCPHL-001137	2022-07-XX	OQ468596	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4881	MPXV-ROK-P53/06-2023	2023-07-05	OR855749	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
4882	Monkeypox/PT0196/2022	2022-06-27	OP324509	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4883	case6_air	2022-09-01	OQ973328	Raymenants et al.	Institute of Tropica Medicine, Department of Clinical Sciences	Global
4884	MPV/PT0691/2023	2023-07-15	OR804466	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4885	NY-NYCPHL-000423	2022-09-XX	OQ468986	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4886	MPXV/Germany/2022/ON/RKI892	2022-07-XX	OQ773511	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4887	MPXV/Germany/2022/RKI517	2022-06-XX	OP689670	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4888	hMPXV/Australia/VIC-9145/2024	2024-06-18	PQ153180	Edenborough et al.	Melbourne Health, VIDRL	Global
4889	NY-NYCPHL-000402	2022-08-XX	OQ504429	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4890	CVR_MPXV1a	2022-05-15	ON808413	Filipe et al.	MRC University of Glasgow Centre for Virus Research, Viral Genomics and Bioinformatics	Global
4891	MpxV/human/USA/WA-UW-118017/2022	2022-11-XX	OQ503752	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
4892	MPXV/UZ_REGA_165/Belgium/2022	2022-07-27	OR086974	Vanmechelen et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
4893	MPXV/Germany/2022/ON/RKI598	2022-08-XX	OP863248	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4894	MPX/Human/USA/CA-LACPHL-MA00104/2022	2022-08-11	OP539889	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
4895	MPXV/Germany/2022/ON/RKI835	2022-07-XX	OQ773454	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4896	TRM341	2022-10-05	PP853035	Parker et al.	University of Edinburgh, Institute of Ecology and Evolution	Global
4897	hMpxV/USA/CA-CDPH-000047/2022	2022-07-02	OP863222	Haw et al.	CDPH, VRDL	Other California
4898	NJ-MPXV-031	2022-07-09	OP879746	Palmateer et al.	New Jersey Department of Health, Public Health and Environmental Laboratories	North America
4899	MPXV/Germany/2022/RKI166	2022-07-XX	OP018592	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4900	MPXV/PT0779/2023	2023-10-28	PP025021	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4901	MPXV/Germany/2022/RKI473	2022-07-XX	OP626111	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4902	hMpxV/Canada/ON-PHOL121/2022	2022-07-01	OR759209	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
4903	MPXV/Germany/2024/ON/RKI1123	2024-09-XX	PQ352017	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4904	hMPXV/P1/2022	2022-07-22	PV034557	Mistral De Pascali et al.	Alma Mater Studiorum - University of Bologna, Department of Medical and Surgical Sciences (DIMEC)	Global
4905	MpxV/human/USA/WA-UW-089015/2022	2022-08-XX	OP257243	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
4906	Z22IRL00176	2022-06-27	OR146396	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
4907	MPXV/Germany/2022/ON/RKI625	2022-08-XX	OP894045	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4908	WA-UW-512620	2022-08-30	PQ479562	Roychoudhury et al.	University of Washington, Laboratory Medicine and Pathology	North America
4909	MPXV/Germany/2022/ON/RKI418	2022-09-XX	OP588281	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4910	NY-NYCPHL-000422	2022-09-XX	OQ419012	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4911	NY-NYCPHL-000205	2022-07-XX	OQ468831	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4912	MPXV/UZ_REGA_168/Belgium/2022	2022-07-27	OR086977	Vanmechelen et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
4913	Z22IRL00231	2022-07-05	OR146322	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
4914	MPXV/Human/USA/CA-LACPHL-MA00469/2022	2022-11-18	OQ644775	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
4915	hMpxV/USA/IL-RIPHL-050-0054/2023	2023-05-16	OR574863	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
4916	Monkeypox/PT0156/2022	2022-07-04	OP324473	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4917	NY-NYCPHL-000473	2022-07-XX	OQ468889	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4918	NY-NYCPHL-000403	2022-08-XX	OQ468978	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4919	MpxV/human/USA/WA-UW-086652/2022	2022-08-XX	OP628470	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
4920	MPXV_USA_2022_MA0080	2022-XX-XX	OP890435	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
4921	MPXV/Germany/2022/RKI526	2022-06-XX	OP689679	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4922	Monkeypox/PT0183/2022	2022-06-28	OP324498	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4923	hMpxV/USA/IL-RIPHL-050-0173/2024	2024-03-16	PP734010	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
4924	MPXV/Germany/2024/ON/RKI1190	2024-12-XX	PV008679	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4925	MPXV_USA_2022_WI0002	2022-09-XX	OQ721943	Gigante et al.	CDC, DHCPP-PRB	North America
4926	MPXV_USA_2022_CT0003	2022-07-XX	OP451008	Gigante et al.	CDC, DHCPP-PRB	North America
4927	Slovenia-MPXV-36-2022	2022-07-XX	OP605578	Zakotnik et al.	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre	Global
4928	MPXV_USA_2022_IL0006	2022-06-XX	OQ427147	Gigante et al.	CDC, DHCPP-PRB	North America
4929	MPXV/Germany/2022/ON/RKI820	2022-07-XX	OQ773439	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4930	MPXV_USA_2022_MA0075	2022-XX-XX	OP890431	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
4931	NY-NYCPHL-001250	2023-11-XX	PP533344	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4932	hMpxV/USA/CA-CDPH-1M1000634/2024	2024-06-17	PQ159985	Kath et al.	CDPH, VRDL	Other California
4933	B1118346	2022-08-15	OP751211	Bajwa et al.	Delaware Public Health Lab, Sequencing/Bioinformatics	North America
4934	MPXV_USA_2022_MA0188	2022-XX-XX	OP928187	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
4935	MPXV/Germany/2022/RKI143	2022-07-XX	ON959158	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4936	hMPXV/Australia/VIC-4022/2024	2024-07-08	PQ153198	Edenborough et al.	Melbourne Health, VIDRL	Global
4937	MPXV/Germany/2022/ON/RKI763	2022-07-XX	OR463729	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4938	hMpxV/USA/CACDPH1MPX1000172/2023	2023-01-12	OR178739	Kath et al.	CDPH, VRDL	Other California
4939	hMpxV/USA/CA-CDPH-1M1000456/2023	2023-12-18	PQ218913	Kath et al.	CDPH, VRDL	Other California
4940	NY-NYCPHL-000503	2022-07-XX	OQ469197	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4941	MPXV_USA_2022_MA0203	2022-XX-XX	OP928199	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
4942	MPXV/Germany/2022/ON/RKI611	2022-08-XX	OP894031	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4943	MPXV/UZ_REGA_131/Belgium/2022	2022-07-05	OR086940	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
4944	MPXV/Germany/2023/ON/RKI1071	2023-12-XX	PP093724	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4945	MPXV/Germany/2022/RKI523	2022-06-XX	OP689676	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4946	hMpxV/USA/IL-RIPHL-050-0114/2023	2023-10-13	PP556306	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
4947	MPX_z0MIuQ_9000282	2022-08-XX	OP415244	Groves et al.	UKHSA, Research and Evaluation	Global
4948	NY-NYCPHL-000553	2022-07-XX	OQ504462	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4949	NY-NYCPHL-000008	2022-07-XX	OQ469012	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4950	MPXV/Human/USA/CA-LACPHL-MA00615/2023	2023-11-27	PP507095	Garrigues et al.	Los Angeles County Public Health Laboratories	Los Angeles County
4951	MPXV/Germany/2022/ON/RKI303	2022-08-XX	OP355564	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4952	Monkeypox virus/Human/USA/CA-LACPHL-MA00269/2022	2022-07-18	OP748955	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
4953	Z22IRL00611	2022-09-07	OR146392	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
4954	Monkeypox/PT0575/2022	2022-09-06	OP555646	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4955	NY-NYCPHL-0001373	2024-07-XX	PQ520552	Taki et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4956	MPXV_UK_2022_9000189	2022-07-06	OP205134	Groves et al.	UKHSA, Research and Evaluation	Global
4957	47_A	2022-07-13	OR264424	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
4958	MPXV/Human/USA/CA-LACPHL-MA00619/2024	2024-03-06	PP701814	Heibeck et al.	Los Angeles Department of Public Health, Los Angeles Department of Public Health Laboratory	Los Angeles County
4959	NY-NYCPHL-001008	2022-07-XX	OQ418993	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4960	27_G	2022-08-16	OR264386	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
4961	MPXV/PT0684/2022	2022-05-31	OR488002	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4962	MPXV/PT0793/2023	2023-11-07	PP025031	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4963	MPXV_399_SP_2022	2022-XX-XX	OX044343	Cuesta et al.	Institute of Health Carlos III, Bioinformatics Unit, Carretera Majadahonda-Pozuelo km2	Global
4964	MPXV/Germany/2023/ON/RKI1029	2023-10-XX	OR743498	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4965	Z22IRL00599	2022-09-05	OR146276	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
4966	MPXV/E4	2022-XX-XX	PP098616	Viscardi et al.	Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health	Global
4967	Monkeypox/PT0044/2022	2022-05-30	ON843182	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
4968	MPXV/Germany/2024/ON/RKI1193	2024-12-XX	PV008682	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4969	MPXV/Germany/2022/ON/RKI506	2022-09-XX	OP689659	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4970	WA-UW-296669	2024-11-19	PV031939	Roychoudhury et al.	University of Washington, Laboratory Medicine and Pathology	North America
4971	MpxV/human/USA/OH-UW-085672/2022	2022-08-XX	OP392533	Sereewit et al.	UW Virology, Laboratory Medicine	North America
4972	hMPXV/Australia/VIC-9373/2024	2024-05-14	PQ153137	Edenborough et al.	Melbourne Health, VIDRL	Global
4973	MPXV/Germany/2022/RKI558	2022-06-XX	OP764616	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4974	MPX/Human/USA/CA-LACPHL-MA00184/2022	2022-07-27	OP615257	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
4975	MPXV/UZ_REGA_147/Belgium/2022	2022-07-05	OR086956	Vanmechelen et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
4976	Z22IRL00723	2022-10-14	OR146387	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
4977	MPXV_USA_2022_WA0018	2022-12-XX	OR464212	Gigante et al.	CDC, DHCPP-PRB	North America
4978	9000430	2022-09-XX	OP536802	Groves et al.	UKHSA, Research and Evaluation	Global
4979	NY-NYCPHL-000101	2022-06-XX	OQ469134	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4980	MPXV/Germany/2022/RKI520	2022-06-XX	OP689673	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4981	MPXV/Germany/2022/ON/RKI791	2022-07-XX	OR463736	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4982	ANT-LDSP-ANT-MPX-28220C	2022-10-13	OQ261700	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
4983	NY-NYCPHL-000443	2022-07-XX	OQ468878	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4984	MPXV/Germany/2022/ON/RKI314	2022-08-XX	OP355572	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4985	NY-NYCPHL-000239	2022-07-XX	OQ469095	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4986	NY-NYCPHL-000537	2022-07-XX	OQ504459	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4987	hMPXV/Australia/VIC-8879/2024	2024-07-23	PQ153218	Edenborough et al.	Melbourne Health, VIDRL	Global
4988	hMPXV/Human/USA/CA-LACPHL-MA00087/2022	2022-08-02	PV173701	Garrigues et al.	Los Angeles County Public Health Laboratories	Los Angeles County
4989	MPXV_USA_2022_MA0006	2022-XX-XX	OP890364	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
4990	NY-NYCPHL-001093	2022-07-XX	OQ469270	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4991	MN-MDH-MPXV_0027	2022-08-05	OR353537	Plumb et al.	Minnesota Department of Health, Public Health Laboratory	North America
4992	MPXV/Germany/2022/RKI518	2022-06-XX	OP689671	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4993	MPXV_USA_2022_MA0167	2022-XX-XX	OP890514	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
4994	MPXV_UK_2022_9000106	2022-06-14	OP205094	Groves et al.	UKHSA, Research and Evaluation	Global
4995	NY-NYCPHL-000804	2022-07-XX	OQ468669	Amin et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4996	MPXV/Germany/2023/ON/RKI1032	2023-10-XX	OR777670	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
4997	NY-NYCPHL-000054	2022-06-XX	OQ504387	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
4998	MPX_3LjZEY_9000355	2022-08-XX	OP415280	Groves et al.	UKHSA, Research and Evaluation	Global
4999	MPXV/Germany/2022/RKI522	2022-06-XX	OP689675	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5000	hMpxV/USA/IL-RIPHL-050-0115/2023	2023-10-13	PP556307	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
5001	MPXV/Germany/2022/ON/RKI663	2022-05-XX	OQ274882	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5002	MpxV/human/USA/WA-UW-083053/2022	2022-08-XX	OP628450	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5003	MPXV/Germany/2022/RKI05	2022-05-XX	ON682264	Brinkmann et al.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany	Global
5004	Monkeypox/PT0226/2022	2022-06-22	OP324536	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5005	MPXV-ROK-P018-2023	2023-04-18	OR459791	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
5006	MPXV/UZ_REGA_141/Belgium/2022	2022-07-05	OR086950	Vanmechelen et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
5007	NY-NYCPHL-001348	2024-06-XX	PQ065583	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5008	hMpxV/USA/IL-RIPHL-050-0110/2023	2023-09-27	PP556302	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
5009	MpxV/human/USA/WA-UW-076225/2022	2022-07-XX	OP123045	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5010	hMpxV/Human/USA/IL-RIPHL-MPXV_10010/2022	2022-08-11	OP820459	Barbian et al.	Rush University Meical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
5011	DC_INS_MPX_0984_L	2022-09-20	OP837476	Laiton-Donato et al.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	Global
5012	NY-NYCPHL-000258	2022-08-XX	OQ469063	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5013	hMPXV/Australia/VIC-0239/2024	2024-05-16	PQ153142	Edenborough et al.	Melbourne Health, VIDRL	Global
5014	MPXV_USA_2022_TN0009	2022-09-XX	OQ054236	Gigante et al.	CDC, DHCPP-PRB	North America
